地區,姓名,性別,推薦政黨,抽籤號次,圖片網址,年齡
1,謝維洲,男,民進黨,1,https://fbcdn-sphotos-c-a.akamaihd.net/hphotos-ak-xap1/t31.0-8/c0.19.851.315/p851x315/10661680_786072221457819_2683249416162471896_o.jpg,31
1,賴素如,女,無,2,,50
1,孫士堅,男,無,3,,55
1,潘懷宗,男,新黨,4,,53
1,林瑞圖,男,無,5,,58
1,周佳君,女,人民民主陣線,6,,47
1,王奕凱,男,無,7,,29
1,王英文,男,無,8,,43
1,陳重文,男,國民黨,9,https://fbcdn-sphotos-h-a.akamaihd.net/hphotos-ak-xpf1/v/t1.0-9/10009909_730210977011034_950474115_n.jpg?oh=91d8f310681db4f684c155f1f49b9d68&oe=54D4B7DE&__gda__=1424895832_6790744a5ff26e05f7e4c9ca8d75ddbb,37
1,黃平洋,男,國民黨,10,https://fbcdn-sphotos-d-a.akamaihd.net/hphotos-ak-xpa1/v/t1.0-9/10385482_734583636588670_6336926491310475929_n.jpg?oh=76a31930df395f88a9bc58415e7d5948&oe=54D759D2&__gda__=1423569514_d337b66d0c014989309c27478e387f4c,52
1,王小玉,女,親民黨,11,,62
1,楊靜宇,男,新黨,12,,53
1,汪志冰,女,國民黨,13,https://scontent-b-pao.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/10731106_789327304438748_8769195917077846522_n.jpg?oh=20c4665df2c82a4b5f417fad7b6e000f&oe=54D4718A,57
1,林世宗,男,民進黨,14,http://www.dpponline.org.tw/public/img/portraits/%E6%9E%97%E4%B8%96%E5%AE%97large.jpg,55
1,王威中,男,民進黨,15,https://fbcdn-sphotos-g-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/10628070_814083848644330_2981865873744172058_n.jpg?oh=86047ede8cecc0ca5e16938c32f118e8&oe=54F8A87D&__gda__=1423742027_58dc65ae628bff222f88cafa135a13fb,31
1,吳思瑤,女,民進黨,16,https://fbcdn-sphotos-g-a.akamaihd.net/hphotos-ak-xfp1/t31.0-8/c0.10.851.315/p851x315/1836595_763989620313965_132515333858095294_o.jpg,40
1,陳建銘,男,台灣團結聯盟,17,,53
1,何志偉,男,民進黨,18,https://fbcdn-sphotos-a-a.akamaihd.net/hphotos-ak-xap1/v/t1.0-9/1380108_355882001241199_5212232727759944546_n.jpg?oh=2d5b1c916cdc8b65c41032f8b6da3def&oe=54D4ABF3&__gda__=1425263034_313aef076cf73b2666e081db437b6560,32
1,陳政忠,男,無,19,,59
1,陳慈慧,女,民進黨,20,https://fbcdn-sphotos-g-a.akamaihd.net/hphotos-ak-xap1/v/t1.0-9/10731050_949360731759548_5245967888917100629_n.jpg?oh=f215449062854dd337cf2eb36179c141&oe=54AAEC97&__gda__=1424588107_dd8643bb8c750e1924eca47eb21a3fce,31
1,吳碧珠,女,國民黨,21,,65
2,許明偉,男,無,1,,60
2,陳義洲,男,國民黨,2,https://fbcdn-sphotos-g-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/10599476_551592001609369_8728392109447691851_n.jpg?oh=27fc0a85e74fe37b477a047e23ddaa1e&oe=54AA0D8C&__gda__=1423670714_3d5346293ae54630de1858b187aab5c5,62
2,趙家蓉,女,新黨,3,,52
2,黃子哲,男,國民黨,4,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/p160x160/10801711_309547725913723_7294515587349197896_n.jpg?oh=d6e8c78ffb6530446ea7853952eef748&oe=54EFAEC2&__gda__=1424424228_4931b87a191b2d9ef6cc142eb70c3b4c,40
2,黃珊珊,女,親民黨,5,,45
2,王孝維,男,民進黨,6,https://fbcdn-sphotos-a-a.akamaihd.net/hphotos-ak-xaf1/v/t1.0-9/s720x720/270944_526261694076606_2087230489_n.jpg?oh=25141fd160126405db8f96888eea09b9&oe=54F12D71&__gda__=1423488854_eace4395011f12ba5f1c307f1bcd4a68,53
2,李彥秀,女,國民黨,7,https://fbcdn-sphotos-d-a.akamaihd.net/hphotos-ak-xpf1/v/t1.0-9/s720x720/10425389_778994865495798_8107120265942628332_n.jpg?oh=b7586b8d7c44ab7132d1df739c3a82ca&oe=54E5338F&__gda__=1423854130_dddc72b89338f8f76c1caf590fa12003,43
2,陳嘉霖,男,台灣團結聯盟,8,,36
2,余筱菁,女,"樹黨	",9,,34
2,闕枚莎,女,國民黨,10,https://scontent-b-sea.xx.fbcdn.net/hphotos-xpf1/v/l/t1.0-9/10003429_825863920773807_856161782_n.jpg?oh=5c4e60e378cda6c74864b77e8f5330cc&oe=54F68930,42
2,江志銘,男,民進黨,11,https://fbcdn-sphotos-f-a.akamaihd.net/hphotos-ak-xap1/v/t1.0-9/10409645_866332433419278_8402221543231941534_n.jpg?oh=7f7edc8a6e27f592a6de904fa161a4ab&oe=54E24CB8&__gda__=1424794980_db975e6b8016972eb6f0b62b928a43e2,52
2,吳世正,男,國民黨,12,,51
